"address"	"lat"	"lng"
"Moscow, Russia"	55.755826	37.6173
"Raleigh, NC, USA"	35.7795897	-78.6381787
"Houston, TX, USA"	29.7604267	-95.3698028
"Durham, NC, USA"	35.9940329	-78.898619
"North Carolina, USA"	35.7595731	-79.0192997
"Bhubaneswar, Odisha, India"	20.2960587	85.8245398
"Alexandria, VA, USA"	38.8048355	-77.0469214
"Geneva, NY 14456, USA"	42.8679836	-76.985557
"Clemson, SC, USA"	34.6834382	-82.8373654
"London, UK"	51.5073509	-0.1277583
"Winnipeg, MB, Canada"	49.895136	-97.1383744
"Toronto, ON, Canada"	43.653226	-79.3831843
"16825 48th Ave W #314, Lynnwood, WA 98037, USA"	47.8458036	-122.2975124
"Virginia, USA"	37.4315734	-78.6568942
"Minnesota, USA"	46.729553	-94.6858998
"United States"	37.09024	-95.712891
"Baltimore, MD, USA"	39.2903848	-76.6121893
"Caracas, Capital District, Venezuela"	10.4805937	-66.9036063
"Pennsylvania, USA"	41.2033216	-77.1945247
"San Miguel de Allende, Guanajuato, Mexico"	20.9144491	-100.745235
"New York, NY, USA"	40.7127837	-74.0059413
"Durham, NH, USA"	43.1339545	-70.9264393
"San Luis Obispo, CA, USA"	35.2827524	-120.6596156
"Edinburgh, UK"	55.953252	-3.188267
"Cairo, Qism El-Montaza, Alexandria Governorate, Egypt"	31.2533151	30.0000007
"Centerton, AR, USA"	36.359799	-94.2852085
"Pasadena, CA, USA"	34.1477849	-118.1445155
"Chetumal, Quintana Roo, Mexico"	18.5001889	-88.296146
"Georgia, USA"	32.1656221	-82.9000751
"Saskatoon, SK, Canada"	52.1332144	-106.6700458
"Texas, USA"	31.9685988	-99.9018131
"Edmonton, AB, Canada"	53.544389	-113.4909267
"California, USA"	36.778261	-119.4179324
"Jersey Shore, PA 17740, USA"	41.2020171	-77.2644152
"Athens, GA, USA"	33.9519347	-83.357567
"Kiel, Germany"	54.3232927	10.1227652
"Girlguiding NWE Region Headquarters, Guiding Road, Preston PR2 5PD, UK"	53.789954	-2.652147
"Sarno Acc, Melbourne, FL 32935, USA"	28.1213834	-80.6543773
"Washington, DC, USA"	38.9071923	-77.0368707
"Calgary, AB, Canada"	51.0486151	-114.0708459
"Barcelona, Spain"	41.3850639	2.1734035
"Nijmegen, Netherlands"	51.8125626	5.8372264
"Panama"	8.537981	-80.782127
"Menai Bridge, UK"	53.222607	-4.165577
"Earth, TX 79031, USA"	34.2331373	-102.4107493
"Edmonton, AB, Canada"	53.544389	-113.4909267
"Portland, OR, USA"	45.5230622	-122.6764816
"37800, Tabasco 2, Centro, Dolores Hidalgo Cuna de la Independencia Nacional, Gto., Mexico"	21.1554854	-100.9359311
"Massachusetts, USA"	42.4072107	-71.3824374
"Suffolk, UK"	52.1872472	0.9707801
"Galveston, TX, USA"	29.3013479	-94.7976958
"La Porte, IN 46350, USA"	41.611143	-86.7227195
"Atlanta, GA, USA"	33.7489954	-84.3879824
"Hell, Norway"	63.4451715	10.9052167
"Lund, Sweden"	55.7046601	13.1910073
"Umeå, Sweden"	63.9564639	20.3264974
"Newcastle upon Tyne, UK"	54.978252	-1.61778
"United Kingdom"	55.378051	-3.435973
"Passeig García i Faria, 37-47, 08019 Barcelona, Spain"	41.4026736	2.2122514
"Corpus Christi, TX, USA"	27.8005828	-97.396381
"Lubbock, TX, USA"	33.5778631	-101.8551665
"Ellicott City, MD, USA"	39.2673283	-76.7983067
"Charlottesville, VA, USA"	38.0293059	-78.4766781
"Philadelphia, PA, USA"	39.9525839	-75.1652215
"Portland, OR, USA"	45.5230622	-122.6764816
"Portland, OR, USA"	45.5230622	-122.6764816
"Jonesboro, AR, USA"	35.8422967	-90.704279
"New York, NY, USA"	40.7127837	-74.0059413
"Clemson, SC, USA"	34.6834382	-82.8373654
"Santa Cruz, CA, USA"	36.9741171	-122.0307963
"Missouri, USA"	37.9642529	-91.8318334
"840 Hamilton St, Allentown, PA 18101, USA"	40.6010681	-75.4751457
"London, UK"	51.5073509	-0.1277583
"Indiana, USA"	40.2671941	-86.1349019
"Ames, IA, USA"	42.0307812	-93.6319131
"Falmouth, UK"	50.152571	-5.06627
"Norman, OK, USA"	35.2225668	-97.4394777
"Calgary, AB, Canada"	51.0486151	-114.0708459
"Berlin, Germany"	52.5200066	13.404954
"Burnley, UK"	53.7892877	-2.2405035
"2 Washington St # 1, New York, NY 10004, USA"	40.7056603	-74.015563
"Cape Town, South Africa"	-33.9248685	18.4240553
"Cape Girardeau, MO, USA"	37.3058839	-89.5181476
"Haiti"	18.971187	-72.285215
"1710 S Catalina Ave, Redondo Beach, CA 90277, USA"	33.8179928	-118.3878374
"Atlanta, GA, USA"	33.7489954	-84.3879824
"Amsterdam, Netherlands"	52.3702157	4.8951679
"Galveston, TX, USA"	29.3013479	-94.7976958
"2249 R St NW, Washington, DC 20008, USA"	38.9128327	-77.0502784
"Baton Rouge, LA, USA"	30.4582829	-91.1403196
"Whitehall, MT 59759, USA"	45.8693709	-112.0986053
"Willow Spring, Middle Creek, NC, USA"	35.5956253	-78.7311104
"California, USA"	36.778261	-119.4179324
"Mitchell, SD 57301, USA"	43.7094283	-98.0297992
"13850 N Pennsylvania Ave, Oklahoma City, OK 73134, USA"	35.6115488	-97.5468115
"Toronto, ON, Canada"	43.653226	-79.3831843
"San Mateo County, CA, USA"	37.4337342	-122.4014193
"Indianapolis, IN, USA"	39.768403	-86.158068
"Red Hook, Brooklyn, NY, USA"	40.6772802	-74.0094471
"Cambridge, MA, USA"	42.3736158	-71.1097335
"Mainz-Kastel, 55252 Wiesbaden, Germany"	50.0192814	8.2806368
"New York, NY, USA"	40.7127837	-74.0059413
"Ithaca, NY, USA"	42.4439614	-76.5018807
"Edinburgh, UK"	55.953252	-3.188267
"5296 University Ave # F, San Diego, CA 92105, USA"	32.7495648	-117.0818756
"Old Main, State College, PA 16801, USA"	40.7982133	-77.8599084
"Moon, PA, USA"	40.5169767	-80.2213477
"4313 FL-70, Arcadia, FL 34266, USA"	27.2307097	-81.9133046
"450 Serra Mall, Stanford, CA 94305, USA"	37.4274745	-122.169719
"Algonquin Provincial Park, Ontario 60, Nipissing, Unorganized, South Part, ON K0J 2M0, Canada"	45.8371591	-78.3791239
"95 1st Avenue, New York, NY 10003, USA"	40.7263542	-73.9865533
"Amtrak Ann Arbor Station, 325 Depot St, Ann Arbor, MI 48104, USA"	42.287777	-83.7431846
"Spokane, WA, USA"	47.6587802	-117.4260466
"Coos Bay, OR, USA"	43.3665007	-124.2178903
"Glendale, CA, USA"	34.1425078	-118.255075
"Knoxville, TN, USA"	35.9606384	-83.9207392
"Charlottesville, VA, USA"	38.0293059	-78.4766781
"Sacramento, CA, USA"	38.5815719	-121.4943996
"United Kingdom"	55.378051	-3.435973
"125 Leith Walk, Edinburgh EH7 5HN, UK"	55.9684703	-3.1736075
"Bonn, Germany"	50.73743	7.0982068
"Boston, MA, USA"	42.3600825	-71.0588801
"Kuwait"	29.31166	47.481766
"Madison, WI, USA"	43.0730517	-89.4012302
"Maryland, USA"	39.0457549	-76.6412712
"Cambridge, MA, USA"	42.3736158	-71.1097335
"Newtown, CT 06470, USA"	41.4141172	-73.3035651
"100 Park Royal S, West Vancouver, BC V7T 1A2, Canada"	49.3252564	-123.1335654
"Creston, NC 28615, USA"	36.428152	-81.6242341
"Arlington, MA, USA"	42.4153925	-71.1564729
"San Diego, CA, USA"	32.715738	-117.1610838
"Damariscotta, ME, USA"	44.0328765	-69.5188884
"Norwich, UK"	52.6308859	1.297355
"Bloomington, IN, USA"	39.165325	-86.5263857
"Paris, France"	48.856614	2.3522219
"Ann Arbor, MI, USA"	42.2808256	-83.7430378
"Connecticut, USA"	41.6032207	-73.087749
"Monterey, CA, USA"	36.6002378	-121.8946761
"St. Louis, MO, USA"	38.6270025	-90.1994042
"Kilifi, Kenya"	-3.5106508	39.9093269
"San Marcos, CA, USA"	33.1433723	-117.1661449
"Maine, USA"	45.253783	-69.4454689
"Edmonton, AB, Canada"	53.544389	-113.4909267
"Toronto, ON, Canada"	43.653226	-79.3831843
"British Columbia, Canada"	53.7266683	-127.6476206
"Los Alamos, NM 87544, USA"	35.8800364	-106.3031138
"Barcelona, Spain"	41.3850639	2.1734035
"United States"	37.09024	-95.712891
"Charlottesville, VA, USA"	38.0293059	-78.4766781
"Preston, UK"	53.763201	-2.70309
"East Midlands Airport, Castle Donington, Derby DE74 2SA, UK"	52.829374	-1.332134
"Washington, DC, USA"	38.9071923	-77.0368707
"Nottingham, UK"	52.9547832	-1.1581086
"Manitoba, Canada"	53.7608608	-98.8138763
"Washington, DC, USA"	38.9071923	-77.0368707
"United States"	37.09024	-95.712891
"Durham, NC, USA"	35.9940329	-78.898619
"Chicago, IL, USA"	41.8781136	-87.6297982
"Devon, UK"	50.7155591	-3.530875
"United Kingdom"	55.378051	-3.435973
"East End, Woodmere, NY 11598, USA"	40.6435843	-73.714002
"Richmond, VA, USA"	37.5407246	-77.4360481
"Houston, TX, USA"	29.7604267	-95.3698028
"Toronto, ON, Canada"	43.653226	-79.3831843
"Cyprus"	35.126413	33.429859
"Kennemerstraatweg 59, 1851 KS Heiloo, Netherlands"	52.6073454	4.715982
"Kansas City, MO, USA"	39.0997265	-94.5785667
"San Francisco, CA, USA"	37.7749295	-122.4194155
"Minneapolis, MN, USA"	44.977753	-93.2650108
"Maine, USA"	45.253783	-69.4454689
"Lafayette, LA, USA"	30.2240897	-92.0198427
"Minneapolis, MN, USA"	44.977753	-93.2650108
"British Columbia, Canada"	53.7266683	-127.6476206
"Baton Rouge, LA, USA"	30.4582829	-91.1403196
"United Kingdom"	55.378051	-3.435973
"Kuwait"	29.31166	47.481766
"6823 St Charles Ave, New Orleans, LA 70118, USA"	29.9403477	-90.1207279
"Cairo, Cairo Governorate, Egypt"	30.0444196	31.2357116
"Chicago, IL, USA"	41.8781136	-87.6297982
"Blacksburg, VA, USA"	37.2295733	-80.4139393
"Vancouver, BC, Canada"	49.2827291	-123.1207375
"Tallahassee, FL, USA"	30.4382559	-84.2807329
"British Columbia, Canada"	53.7266683	-127.6476206
"Atlanta, GA, USA"	33.7489954	-84.3879824
"Riverside, CA, USA"	33.9533487	-117.3961564
"Stony Brook, NY, USA"	40.9256538	-73.1409429
"Massachusetts, USA"	42.4072107	-71.3824374
"Columbus, GA, USA"	32.4609764	-84.9877094
"Sacramento, CA, USA"	38.5815719	-121.4943996
"Toronto, ON, Canada"	43.653226	-79.3831843
"Norman, OK 73071, USA"	35.2407401	-97.4056928
"Clinton, ME, USA"	44.637828	-69.5031267
"Fairbanks, AK, USA"	64.8377778	-147.7163889
"5th, 9025 Wilshire Blvd, Penthouse Beverly Hills,, CA 90211, USA"	34.0661072	-118.3841777
"Washington, DC, USA"	38.9071923	-77.0368707
"United States"	37.09024	-95.712891
"Dallas, TX, USA"	32.7766642	-96.7969879
"St. John's, NL, Canada"	47.5615096	-52.7125768
"Lethbridge, AB, Canada"	49.69349	-112.84184
"Winnipeg, MB, Canada"	49.895136	-97.1383744
"819 N. 6th Street, Milwaukee Downtown DMV, Milwaukee, WI 53203, United States"	43.0405846	-87.9196785
"Annapolis, MD, USA"	38.9784453	-76.4921829
"Colorado, USA"	39.5500507	-105.7820674
"Edmonton, AB, Canada"	53.544389	-113.4909267
"Milledgeville, GA, USA"	33.0801429	-83.2320991
"154 Krog St NE #130, Atlanta, GA 30307, USA"	33.7589188	-84.3640829
"Gainesville, FL, USA"	29.6516344	-82.3248262
"Charleston, SC, USA"	32.7764749	-79.9310512
"200 Romina Dr, Concord, ON L4K 4Z7, Canada"	43.8169837	-79.532157
"Richmond, VA, USA"	37.5407246	-77.4360481
"Columbia, MO, USA"	38.9517053	-92.3340724
"Los Angeles, CA 90095, USA"	34.068921	-118.4451811
"Athens, GA, USA"	33.9519347	-83.357567
"Northwest Territories, Canada"	64.8255441	-124.8457334
"Chico, CA, USA"	39.7284944	-121.8374777
"Canada"	56.130366	-106.346771
"Oxford, UK"	51.7520209	-1.2577263
"Tübingen, Germany"	48.5216364	9.0576448
"Toronto, ON, Canada"	43.653226	-79.3831843
"Halifax Regional Municipality, NS, Canada"	44.6487635	-63.5752387
"Bryn Mawr, PA, USA"	40.0230237	-75.3151772
"New York, NY, USA"	40.7127837	-74.0059413
"Corvallis, OR, USA"	44.5645659	-123.2620435
"Scotland, UK"	56.4906712	-4.2026458
"Cambridge, UK"	52.205337	0.121817
"London, UK"	51.5073509	-0.1277583
"Hawaii, USA"	19.8967662	-155.5827818
"Ithaca, NY, USA"	42.4439614	-76.5018807
"Stockholm, Sweden"	59.3293235	18.0685808
"Skåne County, Sweden"	55.9902572	13.5957692
"Winnipeg, MB, Canada"	49.895136	-97.1383744
"Vancouver, BC, Canada"	49.2827291	-123.1207375
"8118 E Washington St, Indianapolis, IN 46219, USA"	39.7737784	-86.0237247
"Yorktown, VA 23690, USA"	37.2387556	-76.5096731
"Los Angeles, CA, USA"	34.0522342	-118.2436849
"Ann Arbor, MI, USA"	42.2808256	-83.7430378
"Tiburon, Belvedere Tiburon, CA, USA"	37.8735377	-122.4566392
"Philadelphia, PA, USA"	39.9525839	-75.1652215
"Chicago, IL, USA"	41.8781136	-87.6297982
"Wisconsin, USA"	43.7844397	-88.7878678
"Orlando, FL, USA"	28.5383355	-81.3792365
"Manchester, UK"	53.4807593	-2.2426305
"Rochester, NY, USA"	43.16103	-77.6109219
"San Francisco, CA, USA"	37.7749295	-122.4194155
"Gainesville, FL, USA"	29.6516344	-82.3248262
"2329 West Mall, Vancouver, BC V6T 1Z4, Canada"	49.2606052	-123.2459939
"Dania Beach, FL, USA"	26.052311	-80.1439343
"East Lansing, MI, USA"	42.7369792	-84.4838654
"37 Jln Pemimpin, Singapore 577177"	1.3489243	103.8406201
"Sunset, LA 70584, USA"	30.4113095	-92.0684539
"Connecticut, USA"	41.6032207	-73.087749
"Fairbanks, AK, USA"	64.8377778	-147.7163889
"Tena, Ecuador"	-0.9962972	-77.8136035
"Bristol, UK"	51.454513	-2.58791
"Ashover, Chesterfield S45 0BP, UK"	53.1652451	-1.4800457
"Minnesota, USA"	46.729553	-94.6858998
"Cambridge, MA, USA"	42.3736158	-71.1097335
"Honolulu, HI, USA"	21.3069444	-157.8583333
"Brazil"	-14.235004	-51.92528
"Los Angeles, CA, USA"	34.0522342	-118.2436849
"Llanberis, Caernarfon LL55, UK"	53.1180329	-4.127549
"Davidsonville, MD 21035, USA"	38.9227639	-76.6285545
"Oregon, USA"	43.8041334	-120.5542012
"Spokane, WA, USA"	47.6587802	-117.4260466
"Sacramento, CA, USA"	38.5815719	-121.4943996
"St. Louis, MO, USA"	38.6270025	-90.1994042
"Chicago, Alameda, CA 94501, USA"	37.7856906	-122.2872502
"Egham, UK"	51.428825	-0.547876
"New Jersey, USA"	40.0583238	-74.4056612
"Champaign, IL 61801, USA"	40.1019523	-88.2271615
"Santiago, Santiago Metropolitan Region, Chile"	-33.4488897	-70.6692655
"Worcester, MA, USA"	42.2625932	-71.8022934
"2718 Southwest Fwy, Houston, TX 77098, USA"	29.7310418	-95.421957
"Gothenburg, Sweden"	57.70887	11.97456
"California, USA"	36.778261	-119.4179324
"Orono, ME, USA"	44.8831125	-68.6719411
"Charleston, SC, USA"	32.7764749	-79.9310512
"Yavuz Sultan Selim, Anamur Sk., 41320 Kartepe/Kocaeli, Turkey"	40.7187889	30.1170322
"Frankfort, KY 40601, USA"	38.2009055	-84.8732835
"Neverland, 1022 Mountain Top Rd, Nimbin NSW 2480, Australia"	-28.6104322	153.1932534
"Utah, USA"	39.3209801	-111.0937311
"Pacific Grove, CA, USA"	36.6177374	-121.9166215
"Kauai, Hawaii, USA"	22.0964396	-159.5261238
"Ottawa, ON, Canada"	45.4215296	-75.6971931
"Washington, DC, USA"	38.9071923	-77.0368707
"Jersey"	49.214439	-2.13125
"Baltimore, MD, USA"	39.2903848	-76.6121893
"Tucson, AZ, USA"	32.2217429	-110.926479
"Ventura, CA, USA"	34.274646	-119.2290316
"California, USA"	36.778261	-119.4179324
"Namazgah, 35240 Konak/İzmir, Turkey"	38.418434	27.1389082
"St. Petersburg, FL, USA"	27.7518284	-82.6267345
"San Francisco Bay, California, USA"	37.6909682	-122.3107517
"Lincoln, NE, USA"	40.8257625	-96.6851982
"Kingston, ON, Canada"	44.2311717	-76.4859544
"Halifax Regional Municipality, NS, Canada"	44.6487635	-63.5752387
"Germany"	51.165691	10.451526
"Ottawa, ON, Canada"	45.4215296	-75.6971931
"Hartsville, SC 29550, USA"	34.3740431	-80.0734005
"Idaho, USA"	44.0682019	-114.7420408
"Italy"	41.87194	12.56738
"Bryn Mawr, PA, USA"	40.0230237	-75.3151772
"Albuquerque, NM, USA"	35.0853336	-106.6055534
"New Ipswich, NH, USA"	42.7362307	-71.8808499
"Newfoundland and Labrador, Canada"	53.1355091	-57.6604364
"Regina, SK, Canada"	50.4452112	-104.6188944
"Manchester, NH, USA"	42.9956397	-71.4547891
"Rio Claro, SP, Brazil"	-22.4149023	-47.5651394
"Raleigh, NC, USA"	35.7795897	-78.6381787
"South Wales CF45, UK"	51.6858341	-3.3821421
"Turkey"	38.963745	35.243322
"Orestias 682 00, Greece"	41.5014015	26.5310803
"Saskatchewan, Canada"	52.9399159	-106.4508639
"South West England, UK"	50.7772135	-3.999461
"Maryland, USA"	39.0457549	-76.6412712
"28 Rebecca St, Hamilton, ON L8R 1B4, Canada"	43.257906	-79.8673036
"Regina, SK, Canada"	50.4452112	-104.6188944
"Oregon, USA"	43.8041334	-120.5542012
"South West England, UK"	50.7772135	-3.999461
"Exeter, UK"	50.718412	-3.533899
"Southampton, UK"	50.9097004	-1.4043509
"Canmore, AB, Canada"	51.0747378	-115.3599592
"Sheffield, UK"	53.381129	-1.470085
"Houston, TX, USA"	29.7604267	-95.3698028
"Wichita Falls, TX, USA"	33.9137085	-98.4933873
"New York, NY, USA"	40.7127837	-74.0059413
"Virginia, USA"	37.4315734	-78.6568942
"Tempe, AZ, USA"	33.4255104	-111.9400054
"Bellavista Cloud Forest Reserve & Lodge, Km 52 Ruta Quito - Nanegalito, Tandayapa, Ecuador"	0.003706	-78.69119
"Uppsala, Sweden"	59.8585638	17.6389267
"Yıldızevler, 06550 Çankaya/Ankara, Turkey"	39.872665	32.8598122
"Illinois, USA"	40.6331249	-89.3985283
"4200 Fifth Ave, Pittsburgh, PA 15260, USA"	40.4443533	-79.960835
"Canada"	56.130366	-106.346771
"Adventure, Mass City, MI 49948, USA"	46.7768184	-89.0836935
"Tofino, BC V0R 2Z0, Canada"	49.1294739	-125.7915497
"Oregon, USA"	43.8041334	-120.5542012
"Columbia Plateau, Washington 99337, USA"	45.9995778	-119.0013937
"Denver, CO, USA"	39.7392358	-104.990251
"Penryn, UK"	50.169173	-5.107088
"Auckland, New Zealand"	-36.8484597	174.7633315
"Turkey"	38.963745	35.243322
"Lombardy, Italy"	45.4790671	9.8452433
"Texas, USA"	31.9685988	-99.9018131
"Virginia, USA"	37.4315734	-78.6568942
"San Francisco, CA, USA"	37.7749295	-122.4194155
"London, UK"	51.5073509	-0.1277583
"Plymouth, UK"	50.3754565	-4.1426565
"East Sussex, UK"	50.908596	0.2494235
"Silverthorne, CO, USA"	39.6296191	-106.0712941
"Haverford, PA, USA"	40.0022406	-75.3208107
"Chicago, IL, USA"	41.8781136	-87.6297982
"Southern California, CA, USA"	34.9592083	-116.419389
"Australia"	-25.274398	133.775136
"Ireland"	53.1423672	-7.6920536
"Haleiwa, HI 96712, USA"	21.5927614	-158.1034112
"Hanover, NH 03755, USA"	43.7044406	-72.2886934
"Washington, DC, USA"	38.9071923	-77.0368707
"Luzernerstrasse 6, 6204 Sempach, Switzerland"	47.12814	8.192335
"Palo Alto, CA, USA"	37.4418834	-122.1430195
"Los Angeles, CA, USA"	34.0522342	-118.2436849
"Austin, TX, USA"	30.267153	-97.7430608
"Bristol, UK"	51.454513	-2.58791
"Clemson, SC, USA"	34.6834382	-82.8373654
"Antarctica"	-82.8627519	135
"Gainesville, FL, USA"	29.6516344	-82.3248262
"San Francisco, CA, USA"	37.7749295	-122.4194155
"Slovakia"	48.669026	19.699024
"Manhattan, New York, NY, USA"	40.7830603	-73.9712488
"Glasgow, UK"	55.864237	-4.251806
"Davis, CA, USA"	38.5449065	-121.7405167
"Santiago, Santiago Metropolitan Region, Chile"	-33.4488897	-70.6692655
"New Brighton, Wallasey CH45, UK"	53.4354591	-3.0508329
"David, Panama"	8.4007278	-82.4427769
"Auburn, AL, USA"	32.6098566	-85.4807825
"Brooklyn, NY, USA"	40.6781784	-73.9441579
"Chicago, IL, USA"	41.8781136	-87.6297982
"London, UK"	51.5073509	-0.1277583
"Gainesville, FL, USA"	29.6516344	-82.3248262
"Kensington, London SW7 2AZ, UK"	51.4987997	-0.1748772
"Denton, TX, USA"	33.2148412	-97.1330683
"Newport TF10, UK"	52.7685559	-2.375587
"Davis, CA, USA"	38.5449065	-121.7405167
"Swansea, UK"	51.62144	-3.943646
"Tucson, AZ, USA"	32.2217429	-110.926479
"Denver, CO, USA"	39.7392358	-104.990251
"Toronto, ON, Canada"	43.653226	-79.3831843
"Burlington, ON, Canada"	43.3255196	-79.7990319
"Christchurch, New Zealand"	-43.5320544	172.6362254
"Kansas City, MO, USA"	39.0997265	-94.5785667
"8680 Melrose Ave, West Hollywood, CA 90069, USA"	34.081305	-118.382539
"Weehawken, NJ 07086, USA"	40.7663711	-74.0253715
"Greenville, SC, USA"	34.8526176	-82.3940104
"Santiago, Santiago Metropolitan Region, Chile"	-33.4488897	-70.6692655
"Vitoria, Vitória - State of Espírito Santo, Brazil"	-20.2976178	-40.2957768
"Auburn, AL, USA"	32.6098566	-85.4807825
"Baton Rouge, LA, USA"	30.4582829	-91.1403196
"Burundi"	-3.373056	29.918886
"1700 S Lamar Blvd #338, Austin, TX 78704, USA"	30.2515552	-97.7664308
"Mexico"	23.634501	-102.552784
"New Zealand"	-40.900557	174.885971
"Round Rock, TX, USA"	30.5082551	-97.678896
"Fairfield, IA, USA"	41.0076114	-91.9636914
"Uppsala, Sweden"	59.8585638	17.6389267
"Calgary, AB, Canada"	51.0486151	-114.0708459
"Iowa City, IA, USA"	41.6611277	-91.5301683
"Bimini, The Bahamas"	25.7332976	-79.2729342
"Chico, CA, USA"	39.7284944	-121.8374777
"Berlin, Germany"	52.5200066	13.404954
"Notre Dame, IN 46556, USA"	41.7055716	-86.2353388
"1129 Churchmans Rd, Newark, DE 19713, USA"	39.6902002	-75.658616
"Zürich, Switzerland"	47.3768866	8.541694
"Southampton, UK"	50.9097004	-1.4043509
"Seattle, WA, USA"	47.6062095	-122.3320708
"Leeds LS2 9JT, UK"	53.8066815	-1.5550328
"Cleveland, OH, USA"	41.49932	-81.6943605
"Madison, WI, USA"	43.0730517	-89.4012302
"154 Krog St NE #130, Atlanta, GA 30307, USA"	33.7589188	-84.3640829
"Liverpool, UK"	53.4083714	-2.9915726
"Storrs, Mansfield, CT, USA"	41.8084314	-72.2495231
"Washington, USA"	47.7510741	-120.7401386
"Bristol, UK"	51.454513	-2.58791
"San Francisco, CA, USA"	37.7749295	-122.4194155
"Greater Vancouver, BC, Canada"	49.2501243	-123.0824217
"Hoffman Estates, IL, USA"	42.0629915	-88.1227199
"Dupont Circle Station, 1525 20th St. NW, Washington, DC 20036, USA"	38.9098842	-77.043989
"Portland, OR, USA"	45.5230622	-122.6764816
"United Kingdom"	55.378051	-3.435973
"New York, NY, USA"	40.7127837	-74.0059413
"Columbia, MO, USA"	38.9517053	-92.3340724
"Albuquerque, NM, USA"	35.0853336	-106.6055534
"Swansea, UK"	51.62144	-3.943646
"107 S Indiana Ave, Bloomington, IN 47405, USA"	39.1766135	-86.5130173
"Victoria, BC, Canada"	48.4284207	-123.3656444
"Portland, OR, USA"	45.5230622	-122.6764816
"Chiswick, London, UK"	51.4876272	-0.2671732
"Columbusgasse 16, 1100 Wien, Austria"	48.1801817	16.3744796
"Townsville City QLD 4810, Australia"	-19.2589635	146.8169483
"Tucson, AZ, USA"	32.2217429	-110.926479
"Norwich, UK"	52.6308859	1.297355
"Texas, USA"	31.9685988	-99.9018131
"London, UK"	51.5073509	-0.1277583
"Brighton, UK"	50.82253	-0.137163
"Munich, Germany"	48.1351253	11.5819806
"Princeton, NJ, USA"	40.3572976	-74.6672226
"Leeds, UK"	53.8007554	-1.5490774
"Tuscaloosa, AL, USA"	33.2098407	-87.5691735
"Florida, USA"	27.6648274	-81.5157535
"North Carolina, USA"	35.7595731	-79.0192997
"Melbourne VIC 3004, Australia"	-37.813611	144.963056
"Ann Arbor, MI, USA"	42.2808256	-83.7430378
"Durango, CO, USA"	37.27528	-107.8800667
"Wellington, New Zealand"	-41.0299323	175.4375574
"Exeter EX4, UK"	50.7371369	-3.5351475
